Filename,Reason for failure
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1274T_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1274T_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1277J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1277J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1279P_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1279P_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1286J_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1286J_2_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1286J_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1290M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1302M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1302M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1317D_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1321M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1324M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1321M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1269E_1_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1337E_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1337E_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1269E_2_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1351M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1342M_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1351M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1361C_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1364C_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1364C_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1370E_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1372C_1_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1375C_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1375C_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1375C_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1375C_4_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1354E_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1377M_6_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1378T_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1378T_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1380D_4_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1376D_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1381T_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1384J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1384J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1388T_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1389J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1389J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1389J_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1386T_1_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1389J_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1390M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1390M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1390M_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1390M_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1391T_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1391T_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1393T_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1394E_2_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1394E_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1398J_1_HPC_encoding_soz_in_hamming.p,Program ran 0
